player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Digvesh Singh,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Pranshu Vijayran,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Prerit Dutta,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ramakrishna Ghosh,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shubhang Hegde,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shamshuzama Kazi,India,28,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ayaz Khan,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Amit Pachhara,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Akul Pandove,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mohit Rathee,India,24,ALL-ROUNDER,20,20.0,PBKS,Uncapped,2023,1.0,False
Garv Sangwan,India,19,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shubham Sharma,India,26,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Nehal Wadhera,India,22,ALL-ROUNDER,20,20.0,MI,Uncapped,2023,1.0,False
Amit Yadav,India,33,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Amit Ali,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rishabh Chauhan,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Matthew Forde,West Indies,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Sammar Gajjar,India,19,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rajneesh Gurbani,India,30,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Divyansh Joshi,India,21,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Dhruv Patel,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Jack Prestwidge,Australia,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Aditya Sarvate,India,33,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sagar Solanki,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Prenelan Subrayen,South Africa,29,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Bhagath Varma,India,24,ALL-ROUNDER,20,20.0,CSK,Uncapped,2023,1.0,False
