player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Manan Vohra,India,28,BATSMAN,20,20.0,LSG,Uncapped,2022,1.0,False
Raj Angad Bawa,India,19,ALL-ROUNDER,20,200.0,PK,Uncapped,2022,10.0,False
Yash Dhull,India,19,ALL-ROUNDER,20,50.0,DC,Uncapped,2022,2.5,False
Rajvardhan Hangargekar,India,19,ALL-ROUNDER,30,150.0,CSK,Uncapped,2022,5.0,False
Mahipal Lomror,India,22,ALL-ROUNDER,40,95.0,RCB,Uncapped,2022,2.375,False
Darshan Nalkande,India,23,ALL-ROUNDER,20,20.0,GT,Uncapped,2022,1.0,False
Vicky Ostwal,India,19,ALL-ROUNDER,20,20.0,DC,Uncapped,2022,1.0,False
Ripal Patel,India,26,ALL-ROUNDER,20,20.0,DC,Uncapped,2022,1.0,False
Anukul Roy,India,23,ALL-ROUNDER,20,20.0,KKR,Uncapped,2022,1.0,False
N Tilak Varma,India,19,ALL-ROUNDER,20,170.0,MI,Uncapped,2022,8.5,False
Lalit Yadav,India,25,ALL-ROUNDER,20,65.0,DC,Uncapped,2022,3.25,False
Sanjay Yadav,India,26,ALL-ROUNDER,20,50.0,MI,Uncapped,2022,2.5,False
Yash Dayal,India,24,BOWLER,20,320.0,GT,Uncapped,2022,16.0,False
Kuldeep Sen,India,25,BOWLER,20,20.0,RR,Uncapped,2022,1.0,False
Simarjeet Singh,India,24,BOWLER,20,20.0,CSK,Uncapped,2022,1.0,False
Finn Allen,New Zealand,22,BATSMAN,50,80.0,RCB,Capped,2022,1.6,True
Devon Conway,New Zealand,30,BATSMAN,100,100.0,CSK,Capped,2022,1.0,True
Alex Hales,England,33,BATSMAN,150,150.0,KKR,Capped,2022,1.0,True
Evin Lewis,West Indies,30,BATSMAN,200,200.0,LSG,Capped,2022,1.0,True
Karun Nair,India,30,BATSMAN,50,140.0,RR,Capped,2022,2.8,False
Rovman Powell,West Indies,28,BATSMAN,75,280.0,DC,Capped,2022,3.7333333333333334,True
Rassie Van Der Dussen,South Africa,33,BATSMAN,100,100.0,RR,Capped,2022,1.0,True
Jofra Archer,England,27,ALL-ROUNDER,200,800.0,MI,Capped,2022,4.0,True
Rishi Dhawan,India,32,ALL-ROUNDER,50,55.0,PK,Capped,2022,1.1,False
Daryl Mitchell,New Zealand,30,ALL-ROUNDER,75,75.0,RR,Capped,2022,1.0,True
Dwaine Pretorius,South Africa,33,ALL-ROUNDER,50,50.0,CSK,Capped,2022,1.0,True
Sherfane Rutherford,West Indies,23,ALL-ROUNDER,100,100.0,RCB,Capped,2022,1.0,True
Daniel Sams,Australia,29,ALL-ROUNDER,100,260.0,MI,Capped,2022,2.6,True
